route_key,route_name,source_file,last_updated
shinanoBrandNorth,しなの鉄道北しなの線,niigata-nagano-lines.ts,2026-05-18
shinanoRailway,しなの鉄道本線,niigata-nagano-lines.ts,2026-05-18
jrIiyamaLineExt,JR飯山線,niigata-nagano-lines.ts,2026-05-18
jrRyomoline,JR両毛線,kanto-jr-more.ts,2026-05-18
jrMitoLineExt,JR常磐線（水戸付近）,kanto-jr-more.ts,2026-05-18
jrKarasuyamaLine,JR烏山線,kanto-jr-more.ts,2026-05-18
jrKururiLine,JR久留里線,kanto-jr-more.ts,2026-05-18
jrSobuMainLine,JR総武本線（千葉〜銚子）,kanto-jr-more.ts,2026-05-18
jrTokaidoNagoyaToyohashi,JR東海道本線（名古屋〜豊橋）,chubu-jr-more3.ts,2026-05-18
toyohashiAtsumiLine,豊橋鉄道渥美線,chubu-jr-more3.ts,2026-05-18
nagoyaMeikoLine,名古屋市営地下鉄名港線,chubu-jr-more3.ts,2026-05-18
meitetsuToyotaLine,名鉄豊田線,chubu-jr-more3.ts,2026-05-18
meitetsuSetoLine,名鉄瀬戸線,chubu-nagoya-more.ts,2026-05-18
linimo,リニモ（愛知高速交通東部丘陵線）,chubu-nagoya-more.ts,2026-05-18
nagoyaKamiidaLine,名古屋市営地下鉄上飯田線,chubu-nagoya-more.ts,2026-05-18
meitetsuBisaiLine,名鉄尾西線,chubu-nagoya-more.ts,2026-05-18
ichibataKitamatsue,一畑電車北松江線,chugoku-more2.ts,2026-05-18
ichibataOyashiro,一畑電車大社線,chugoku-more2.ts,2026-05-18
mizushimaLine,水島臨海鉄道,chugoku-more2.ts,2026-05-18
ibaraRailway,井原鉄道,chugoku-more2.ts,2026-05-18
heiseiChikuhoIdaLine,平成筑豊鉄道伊田線,kyushu-more3.ts,2026-05-18
heiseiChikuhoTagawaLine,平成筑豊鉄道田川線,kyushu-more3.ts,2026-05-18
minamiAsoRailway,南阿蘇鉄道,kyushu-more3.ts,2026-05-18
kashimaRinkaiRailway,鹿島臨海鉄道,kanto-private-more3.ts,2026-05-18
joshinDentetsu,上信電鉄,kanto-private-more3.ts,2026-05-18
kantoRailwayJoso,関東鉄道常総線,kanto-private-more3.ts,2026-05-18
yuriHighlandRailway,由利高原鉄道,tohoku-more3.ts,2026-05-18
tsugaruRailway,津軽鉄道,tohoku-more3.ts,2026-05-18
konanLineHirosaki,弘南鉄道弘南線,tohoku-more3.ts,2026-05-18
konanLineOwani,弘南鉄道大鰐線,tohoku-more3.ts,2026-05-18
hitachinakaSeaRailway,ひたちなか海浜鉄道,kanto-more2.ts,2026-05-18
jrSuigunLineMain,JR水郡線（水戸〜常陸大宮）,kanto-more2.ts,2026-05-18
kominatoRailway,小湊鉄道,kanto-more2.ts,2026-05-18
jrRumoiMainLine,JR留萌本線,hokkaido-more2.ts,2026-05-18
oigawaRailway,大井川鐡道大井川本線,chubu-shizuoka-more.ts,2026-05-18
gakunanRailway,岳南電車,chubu-shizuoka-more.ts,2026-05-18
izuhakoneOyamazanLine,伊豆箱根鉄道大雄山線,chubu-shizuoka-more.ts,2026-05-18
kyotoSubwayKarasuma,京都市営地下鉄烏丸線,kinki-kyoto-more.ts,2026-05-18
kyotoSubwayTozai,京都市営地下鉄東西線,kinki-kyoto-more.ts,2026-05-18
keifukuArashiyama,嵐電（嵐山本線）,kinki-kyoto-more.ts,2026-05-18
