route_key,route_name,source_file,last_updated
sotetsuJRLine,相鉄・JR直通線,sotetsu-jr-line.ts,2026-05-12
tobuNodaLine,東武アーバンパークライン,tobu-noda-line.ts,2026-05-18
jrSagamiLine,JR相模線,jr-sagami-line.ts,2026-05-18
jrTsurumiLine,JR鶴見線,jr-tsurumi-line.ts,2026-05-18
jrTsurumiUmiShiba,JR鶴見線（海芝浦支線）,jr-tsurumi-line.ts,2026-05-18
seibuTamagawaLine,西武多摩川線,seibu-tamagawa-line.ts,2026-05-18
jrNambuBranchLine,JR南武支線,jr-nambu-branch.ts,2026-05-18
tohokuShinkansen,東北新幹線,shinkansen-lines.ts,2026-05-18
sanyoShinkansen,山陽新幹線,shinkansen-lines.ts,2026-05-18
kyushuShinkansen,九州新幹線,shinkansen-lines.ts,2026-05-18
hokurikuShinkansen,北陸新幹線,shinkansen-lines.ts,2026-05-18
joetsuShinkansen,上越新幹線,shinkansen-lines.ts,2026-05-18
nagoyaHigashiyamaLine,名古屋市営地下鉄東山線,nagoya-lines.ts,2026-05-18
nagoyaMeijoline,名古屋市営地下鉄名城線,nagoya-lines.ts,2026-05-18
meitetsuNagoyaMainLine,名鉄名古屋本線,nagoya-lines.ts,2026-05-18
jrNagoyaLine,JR東海道本線（名古屋〜米原）,nagoya-lines.ts,2026-05-18
osakaTanimachi,大阪メトロ谷町線,osaka-lines.ts,2026-05-18
osakaYotsubashi,大阪メトロ四つ橋線,osaka-lines.ts,2026-05-18
osakaChuoLine,大阪メトロ中央線,osaka-lines.ts,2026-05-18
hankyuKyotoLine,阪急京都線,osaka-lines.ts,2026-05-18
hankyuKobeLine,阪急神戸線,osaka-lines.ts,2026-05-18
hanshinMainLine,阪神本線,osaka-lines.ts,2026-05-18
osakaSakaisuji,大阪メトロ堺筋線,osaka-lines.ts,2026-05-18
kintetsuOsakaLine,近鉄大阪線,kinki-lines.ts,2026-05-18
kintetsuNaraLine,近鉄奈良線,kinki-lines.ts,2026-05-18
keihanMainLine,京阪本線,kinki-lines.ts,2026-05-18
fukuokaAirportLine,福岡市地下鉄空港線,fukuoka-lines.ts,2026-05-18
fukuokaHakozakiLine,福岡市地下鉄箱崎線,fukuoka-lines.ts,2026-05-18
fukuokaShichikumaLine,福岡市地下鉄七隈線,fukuoka-lines.ts,2026-05-18
nishitetsuTenjinOmutaLine,西鉄天神大牟田線,fukuoka-lines.ts,2026-05-18
jrKagoshimaMainLineFukuoka,JR鹿児島本線（福岡〜熊本）,fukuoka-lines.ts,2026-05-18
sapporoNambokuLine,札幌市営地下鉄南北線,sapporo-lines.ts,2026-05-18
sapporoTozaiLine,札幌市営地下鉄東西線,sapporo-lines.ts,2026-05-18
sapporoTohoLine,札幌市営地下鉄東豊線,sapporo-lines.ts,2026-05-18
jrHakodateMainLine,JR函館本線（札幌〜旭川）,sapporo-lines.ts,2026-05-18
jrChitoseLine,JR千歳線,sapporo-lines.ts,2026-05-18
jrTohokuMainLine,JR東北本線,tohoku-lines.ts,2026-05-18
sendaiNambokuLine,仙台市地下鉄南北線,tohoku-lines.ts,2026-05-18
